"","My01","My02","My03","My04","My05","My06"
"Otu0001",0.284786449132287,0.740923510750793,0.704879163571959,0,5.56870388417096e-05,0
"Otu0002",0.00244206588382001,0.000384529112058192,0.000342798377421014,0.694924459366051,0.537853264652652,0.360502755825144
"Otu0003",0,3.2044092671516e-05,0,0.0558408215661104,0.182207991090074,0.42646758624712
"Otu0004",0.141743738958745,0.0639279648796744,0.0891561446609153,0.036486619926928,0.0366142280384241,0.0254002507946692
"Otu0005",0.203522809934532,0.030057358925882,0.0521053533679941,0.0461637207465192,0.0189614367256021,0.00460762299145548
"Otu0006",0,0,2.85665314517511e-05,0.0409795595931668,0.103828483920368,0.0684436149426963
"Otu0007",0.224410267068482,0.0329092831736469,0.0354510655316232,4.93729633652612e-05,0,0
"Otu0008",0.0095604281409124,0.000833146409459416,0.00277095355081986,0.0378690629011553,0.0420437143254907,0.0407687148231314
"Otu0009",0.0258755065987738,0.0444451565353927,0.0500771296349197,4.93729633652612e-05,0.000361965752471112,0.000408270391647954
"Otu0010",0.000883300426062558,0.00016022046335758,8.56995943552534e-05,0.0404364569961489,0.0245858276486148,0.0137353824618705
"Otu0011",0.0400602722643666,0.0229435703528055,0.0129977718105468,0,0,0
"Otu0012",0.00280577782396342,0.000544749575415772,0.00231388904759184,0.00725782561469339,0.0141445078657942,0.026450088944621
"Otu0013",0.00348124285565832,0.0199634697343545,0.00634176998228875,0,0,2.91621708319967e-05
"Otu0014",0.00436454328172088,0.00922869868939661,0.011712277895218,0,0,0
"Otu0017",0.0176140496726593,0.0014099400775467,0.00202822373307433,0.00172805371778414,0.000612557427258805,0.000670729929135925
